Slice_Index,PSNR_ZF,PSNR_Model,SSIM_ZF,SSIM_Model
0,29.0646,29.6681,0.6252,0.7111
1,28.9058,30.1446,0.6240,0.7265
2,28.8781,29.4954,0.6184,0.7520
3,28.4292,29.6891,0.5953,0.7636
4,28.3723,30.3093,0.6001,0.7925
5,28.2885,30.4037,0.5969,0.8035
6,27.9454,31.2012,0.5944,0.8255
7,28.0911,31.2970,0.5967,0.8336
8,28.3145,31.7155,0.6040,0.8503
9,28.3003,31.8018,0.6064,0.8630
10,28.4588,32.1920,0.6058,0.8708
11,28.6585,32.6768,0.6118,0.8831
12,28.5368,32.7567,0.6169,0.8850
13,28.9232,33.2982,0.6259,0.8944
14,28.9509,32.7358,0.6231,0.8943
15,29.0003,33.6442,0.6325,0.9031
16,29.1918,34.3351,0.6385,0.9104
17,28.9342,34.1701,0.6451,0.9081
18,29.2776,34.5335,0.6532,0.9119
19,29.2504,34.6752,0.6651,0.9112
20,29.2283,34.4142,0.6574,0.9155
21,29.1468,34.9123,0.6529,0.9166
22,29.5254,35.2630,0.6687,0.9186
23,29.3832,35.2956,0.6726,0.9196
24,29.6278,35.2318,0.6746,0.9177
25,29.4725,35.2994,0.6760,0.9185
26,29.8821,35.0381,0.6603,0.9208
27,29.9002,35.8616,0.6829,0.9259
28,29.4446,35.4667,0.6734,0.9214
29,29.2445,35.7523,0.6778,0.9222
30,29.5069,35.9215,0.6745,0.9258
31,29.5800,35.8587,0.6841,0.9253
32,29.6014,35.6740,0.6799,0.9248
33,29.6491,35.8188,0.6835,0.9246
34,29.7172,35.9365,0.6910,0.9247
35,29.7530,36.1865,0.6758,0.9251
36,29.7346,36.5730,0.6852,0.9283
37,29.7441,36.2037,0.6759,0.9260
38,29.6883,36.5149,0.6821,0.9261
39,29.7310,36.4216,0.6814,0.9253
40,29.3090,36.2531,0.6776,0.9254
41,29.5082,36.4149,0.6894,0.9255
42,29.8465,36.2383,0.6880,0.9260
43,29.5260,36.5590,0.6787,0.9258
44,29.4115,36.1861,0.6870,0.9221
45,29.4715,36.2614,0.6825,0.9228
46,29.5934,36.2786,0.6957,0.9236
47,29.6771,36.0209,0.6913,0.9232
48,28.9061,36.1414,0.6783,0.9204
49,29.4089,36.4581,0.6849,0.9239
50,28.9686,35.9506,0.6714,0.9168
51,29.2508,35.1409,0.6848,0.9130
52,29.1122,35.5089,0.6791,0.9130
53,29.1673,35.1691,0.6747,0.9097
54,29.1005,35.7292,0.6823,0.9131
55,29.1863,35.2691,0.6812,0.9118
56,29.2175,34.7372,0.6886,0.9089
57,29.1628,34.9145,0.6713,0.9086
58,28.8875,34.8801,0.6751,0.9054
59,28.8387,34.7720,0.6809,0.9043
60,28.8266,35.1138,0.6709,0.9068
61,28.9760,33.7499,0.6721,0.9059
62,28.4726,34.0414,0.6652,0.8999
63,28.5022,34.3634,0.6679,0.9008
64,28.5336,34.4888,0.6549,0.9018
65,27.9400,34.2505,0.6484,0.8966
66,28.4567,34.2668,0.6591,0.8967
67,28.3886,34.3976,0.6534,0.8990
68,28.3291,33.4172,0.6482,0.8921
69,28.3875,33.1878,0.6477,0.8906
70,25.9350,28.0122,0.4794,0.6638
71,25.9556,28.9803,0.4585,0.6946
72,25.7068,27.8038,0.4673,0.7199
73,25.5845,28.4741,0.4698,0.7412
74,25.5748,28.7065,0.4909,0.7598
75,25.4917,28.3356,0.4798,0.7782
76,25.3063,29.2851,0.4581,0.7764
77,25.7249,29.8056,0.4869,0.7942
78,25.5764,29.9637,0.4896,0.8061
79,25.4433,29.5312,0.4896,0.8273
80,25.5785,30.3822,0.4961,0.8260
81,26.0454,30.7514,0.5193,0.8451
82,26.2167,31.1905,0.5228,0.8466
83,26.0675,31.0634,0.5274,0.8463
84,26.3540,31.5513,0.5510,0.8603
85,26.0750,31.3395,0.5488,0.8649
86,26.7615,32.4340,0.5505,0.8806
87,26.6270,32.2215,0.5396,0.8770
88,26.6268,32.1315,0.5576,0.8782
89,26.9073,32.3355,0.5716,0.8796
90,27.1073,32.6543,0.5699,0.8831
91,26.5901,32.1040,0.5524,0.8852
92,26.9602,32.5506,0.5739,0.8844
93,26.8614,32.4040,0.5583,0.8921
94,26.9921,33.0405,0.5610,0.8936
95,26.9374,32.7905,0.5722,0.8969
96,27.0716,33.3916,0.5664,0.8953
97,26.9500,33.3031,0.5706,0.8959
98,26.8687,33.1854,0.5652,0.8998
99,27.0600,31.9803,0.5837,0.9049
100,26.8248,33.0315,0.5746,0.9034
101,26.9474,33.6884,0.5759,0.9058
102,26.7661,33.4712,0.5801,0.9002
103,26.7422,33.3105,0.5801,0.9003
104,26.9651,33.5368,0.5903,0.8999
105,27.0242,33.6869,0.5972,0.8984
106,26.8368,33.5876,0.5965,0.8973
107,26.8347,33.9624,0.5939,0.9013
108,26.9620,33.7484,0.5915,0.8977
109,26.5824,33.0755,0.5911,0.8934
110,26.7372,33.4326,0.5974,0.8935
111,26.8742,33.6552,0.6110,0.8954
112,26.9331,33.6650,0.6099,0.8941
113,26.8636,33.3758,0.6142,0.8925
114,27.0377,33.6720,0.6229,0.8952
115,26.7598,32.8553,0.6088,0.8898
116,26.8496,33.3477,0.6187,0.8938
117,26.9742,32.6440,0.6155,0.8916
118,26.4530,32.9464,0.6069,0.8847
119,26.4488,33.1791,0.5970,0.8874
120,26.5804,33.2427,0.5976,0.8870
121,26.4550,33.1410,0.6030,0.8837
122,26.2017,32.8014,0.5886,0.8793
123,26.0792,32.6694,0.5947,0.8773
124,25.9411,32.8033,0.5911,0.8790
125,26.1153,32.5172,0.5909,0.8779
126,25.7801,32.5777,0.5880,0.8765
127,25.8115,32.7753,0.5898,0.8784
128,25.5748,32.4037,0.5850,0.8712
129,25.6176,32.1859,0.5873,0.8741
130,25.7649,32.5570,0.5839,0.8789
131,25.5651,32.1642,0.5749,0.8723
132,25.4005,32.0824,0.5736,0.8746
133,25.6840,31.9455,0.5679,0.8718
134,25.5101,31.5644,0.5659,0.8679
135,25.4022,31.8604,0.5667,0.8678
136,25.2230,31.5863,0.5575,0.8597
137,25.1978,31.2746,0.5455,0.8568
138,24.8872,30.9403,0.5531,0.8513
139,25.0880,30.5402,0.5464,0.8440
