Slice_Index,PSNR_ZF,PSNR_Model,SSIM_ZF,SSIM_Model
0,29.8483,32.1028,0.5731,0.7425
1,29.6702,32.2343,0.5702,0.7623
2,29.5253,31.8890,0.5687,0.7772
3,29.0453,31.3407,0.5629,0.7886
4,29.0587,32.7008,0.5560,0.8156
5,28.7489,33.2693,0.5573,0.8248
6,28.2853,33.7070,0.5366,0.8512
7,28.5314,34.3298,0.5574,0.8620
8,28.6172,34.7661,0.5601,0.8766
9,28.7296,34.8549,0.5647,0.8890
10,28.6974,35.1376,0.5581,0.9018
11,28.7965,35.9328,0.5689,0.9089
12,28.8486,35.6634,0.5733,0.9092
13,29.1213,36.3369,0.5791,0.9191
14,29.2091,35.6967,0.5923,0.9195
15,29.2462,36.9041,0.5919,0.9275
16,29.3853,37.2322,0.5988,0.9310
17,29.1746,37.0056,0.6045,0.9281
18,29.4826,37.7350,0.6227,0.9342
19,29.4547,37.6855,0.6161,0.9331
20,29.4879,37.6865,0.6250,0.9341
21,29.3715,37.7669,0.6337,0.9360
22,29.7295,37.9890,0.6311,0.9379
23,29.5624,37.7438,0.6494,0.9371
24,29.7984,37.7391,0.6500,0.9359
25,29.6316,37.5119,0.6441,0.9356
26,29.9935,37.4533,0.6476,0.9381
27,29.9652,37.9757,0.6403,0.9413
28,29.5424,37.5437,0.6516,0.9378
29,29.3972,37.4192,0.6496,0.9372
30,29.5601,37.8854,0.6496,0.9409
31,29.6268,37.6309,0.6462,0.9394
32,29.6229,37.8602,0.6511,0.9398
33,29.6874,37.0579,0.6504,0.9383
34,29.7688,37.9722,0.6585,0.9401
35,29.8163,38.0320,0.6619,0.9392
36,29.7634,38.1407,0.6590,0.9413
37,29.7484,38.0336,0.6510,0.9405
38,29.7230,37.9535,0.6586,0.9383
39,29.7331,38.0489,0.6596,0.9382
40,29.3776,37.8331,0.6640,0.9365
41,29.5502,38.1098,0.6583,0.9390
42,29.8659,37.7043,0.6679,0.9389
43,29.5618,38.0339,0.6628,0.9385
44,29.4336,37.6420,0.6695,0.9352
45,29.4552,37.6561,0.6603,0.9357
46,29.5786,37.3846,0.6676,0.9347
47,29.6648,37.5903,0.6718,0.9358
48,28.9119,37.3374,0.6570,0.9321
49,29.3897,37.6593,0.6650,0.9347
50,29.0039,37.2797,0.6643,0.9300
51,29.2447,36.7400,0.6650,0.9271
52,29.1078,36.5956,0.6632,0.9248
53,29.1463,36.3986,0.6575,0.9224
54,29.0833,36.7932,0.6602,0.9255
55,29.2159,36.5870,0.6675,0.9237
56,29.2024,36.3456,0.6668,0.9226
57,29.1929,35.6965,0.6609,0.9206
58,28.8485,36.2650,0.6416,0.9194
59,28.8393,35.9262,0.6518,0.9179
60,28.8102,36.1387,0.6534,0.9189
61,28.9225,35.2782,0.6482,0.9199
62,28.4490,34.5638,0.6412,0.9109
63,28.5393,35.1570,0.6467,0.9119
64,28.5281,35.5756,0.6462,0.9142
65,28.0084,35.2236,0.6435,0.9090
66,28.4169,35.0953,0.6338,0.9083
67,28.3643,35.5310,0.6272,0.9116
68,28.3653,34.9722,0.6377,0.9079
69,28.4047,34.4048,0.6341,0.9062
70,26.4030,29.5166,0.4313,0.7061
71,26.4229,31.0803,0.4380,0.7384
72,26.0835,29.3862,0.4187,0.7621
73,25.9278,30.3707,0.4360,0.7771
74,25.8926,30.4037,0.4237,0.7963
75,25.8412,30.1250,0.4365,0.8146
76,25.6233,30.8789,0.4350,0.8181
77,25.9559,32.2554,0.4323,0.8307
78,25.8450,32.2434,0.4423,0.8390
79,25.7535,31.8020,0.4532,0.8600
80,25.7968,32.9065,0.4630,0.8587
81,26.2121,33.5197,0.4675,0.8767
82,26.3912,33.7818,0.4790,0.8803
83,26.2865,33.9073,0.4898,0.8818
84,26.5406,34.3523,0.5069,0.8904
85,26.2714,34.1418,0.5022,0.8925
86,26.9752,34.9385,0.5184,0.9088
87,26.7639,34.7157,0.5161,0.9054
88,26.7110,34.7664,0.5176,0.9063
89,27.0037,34.6887,0.5351,0.9054
90,27.1185,35.1288,0.5256,0.9096
91,26.6315,34.0718,0.5094,0.9110
92,26.9977,35.0328,0.5341,0.9114
93,26.8756,34.3901,0.5326,0.9150
94,27.0072,35.1149,0.5359,0.9169
95,26.8920,34.7415,0.5376,0.9176
96,27.0267,35.3986,0.5338,0.9176
97,26.9184,35.4142,0.5454,0.9203
98,26.8498,35.3843,0.5486,0.9202
99,27.0028,34.6856,0.5534,0.9250
100,26.7563,34.7775,0.5441,0.9243
101,26.9448,35.6534,0.5604,0.9250
102,26.7845,35.1824,0.5548,0.9213
103,26.6816,35.0495,0.5521,0.9212
104,26.9835,34.9338,0.5746,0.9219
105,27.0242,35.4472,0.5682,0.9188
106,26.8504,35.3895,0.5706,0.9204
107,26.7948,35.8168,0.5622,0.9224
108,26.8875,35.3854,0.5627,0.9181
109,26.5609,35.0008,0.5555,0.9124
110,26.7506,35.1169,0.5760,0.9133
111,26.8950,35.2969,0.5826,0.9162
112,26.9666,35.0002,0.5807,0.9130
113,26.8367,34.9266,0.5853,0.9125
114,27.0741,35.1689,0.5995,0.9143
115,26.7702,34.5490,0.5894,0.9101
116,26.8750,34.6332,0.5878,0.9109
117,26.9975,33.7564,0.5880,0.9096
118,26.4743,34.3850,0.5767,0.9053
119,26.4695,34.2862,0.5707,0.9028
120,26.5459,34.3875,0.5791,0.9042
121,26.4713,34.3768,0.5767,0.9027
122,26.2390,34.1179,0.5788,0.9006
123,26.1278,34.1005,0.5703,0.8978
124,25.9687,33.6412,0.5642,0.8961
125,26.1268,34.0170,0.5714,0.8981
126,25.8744,33.8808,0.5674,0.8961
127,25.8490,33.5241,0.5640,0.8974
128,25.6592,33.5037,0.5612,0.8909
129,25.6493,32.9695,0.5667,0.8921
130,25.7545,33.4699,0.5584,0.8944
131,25.5691,33.2066,0.5563,0.8908
132,25.3864,32.7183,0.5503,0.8861
133,25.6314,33.3148,0.5495,0.8921
134,25.4790,32.2996,0.5477,0.8846
135,25.4068,32.5703,0.5446,0.8830
136,25.2271,32.5042,0.5377,0.8778
137,25.2314,32.0020,0.5434,0.8785
138,24.9416,31.6326,0.5377,0.8730
139,25.1018,31.1194,0.5313,0.8641
